datetime,TG,SQ,DR,RH,EV24
2020-07-12 00:00:00+00:00,156.0,147.0,0.0,0.0,0.0048
2020-07-13 00:00:00+00:00,180.0,143.0,0.0,0.0,0.005
2020-07-14 00:00:00+00:00,156.0,2.0,30.0,0.0024,0.0013
2020-07-15 00:00:00+00:00,157.0,68.0,9.0,0.0005,0.0026
2020-07-16 00:00:00+00:00,165.0,29.0,17.0,0.0015,0.0024
2020-07-17 00:00:00+00:00,187.0,62.0,4.0,0.0001,0.003
2020-07-18 00:00:00+00:00,188.0,121.0,0.0,0.0,0.0045
2020-07-19 00:00:00+00:00,165.0,16.0,12.0,0.0003,0.0025
2020-07-20 00:00:00+00:00,162.0,147.0,0.0,0.0,0.0049
2020-07-21 00:00:00+00:00,148.0,137.0,0.0,0.0,0.0041
2020-07-22 00:00:00+00:00,155.0,138.0,0.0,0.0,0.0046
2020-07-23 00:00:00+00:00,190.0,116.0,0.0,0.0,0.0044
2020-07-24 00:00:00+00:00,189.0,43.0,0.0,0.0,0.0028
2020-07-25 00:00:00+00:00,183.0,14.0,82.0,0.0194,0.0019
2020-07-26 00:00:00+00:00,182.0,98.0,0.0,0.0,0.0038
2020-07-27 00:00:00+00:00,190.0,33.0,21.0,0.0018,0.0023
2020-07-28 00:00:00+00:00,174.0,76.0,6.0,0.0005,0.0035
2020-07-29 00:00:00+00:00,167.0,110.0,0.0,0.0,0.0039
2020-07-30 00:00:00+00:00,204.0,133.0,0.0,0.0,0.0047
2020-07-31 00:00:00+00:00,261.0,140.0,6.0,0.0016,0.0053
2020-08-01 00:00:00+00:00,200.0,89.0,2.0,0.0001,0.0034
2020-08-02 00:00:00+00:00,176.0,99.0,0.0,0.0,0.0039
2020-08-03 00:00:00+00:00,164.0,40.0,13.0,0.003,0.0021
2020-08-04 00:00:00+00:00,174.0,125.0,0.0,0.0,0.0043
2020-08-05 00:00:00+00:00,206.0,140.0,0.0,0.0,0.0047
2020-08-06 00:00:00+00:00,220.0,124.0,0.0,0.0,0.0046
2020-08-07 00:00:00+00:00,262.0,140.0,0.0,0.0,0.005
2020-08-08 00:00:00+00:00,266.0,97.0,0.0,0.0,0.0044
2020-08-09 00:00:00+00:00,271.0,119.0,0.0,0.0,0.0046
2020-08-10 00:00:00+00:00,265.0,98.0,0.0,0.0,0.0043
2020-08-11 00:00:00+00:00,249.0,66.0,3.0,0.0001,0.0023
2020-08-12 00:00:00+00:00,257.0,127.0,0.0,0.0,0.0044
2020-08-13 00:00:00+00:00,239.0,60.0,3.0,0.0002,0.0034
2020-08-14 00:00:00+00:00,205.0,45.0,19.0,0.0041,0.0019
2020-08-15 00:00:00+00:00,216.0,50.0,0.0,0.0,0.0025
2020-08-16 00:00:00+00:00,214.0,56.0,22.0,0.0058,0.0027
2020-08-17 00:00:00+00:00,196.0,70.0,7.0,0.0005,0.0031
2020-08-18 00:00:00+00:00,191.0,116.0,1.0,0.0001,0.0035
2020-08-19 00:00:00+00:00,214.0,60.0,38.0,0.0048,0.0031
2020-08-20 00:00:00+00:00,234.0,46.0,18.0,0.0053,0.0024
2020-08-21 00:00:00+00:00,234.0,109.0,0.0,0.0,0.004
2020-08-22 00:00:00+00:00,187.0,79.0,7.0,0.0061,0.0027
2020-08-23 00:00:00+00:00,175.0,37.0,13.0,0.0014,0.002
2020-08-24 00:00:00+00:00,172.0,78.0,13.0,0.004,0.003
2020-08-25 00:00:00+00:00,179.0,28.0,23.0,0.0016,0.0014
2020-08-26 00:00:00+00:00,174.0,0.0,3.0,0.0004,0.0007
2020-08-27 00:00:00+00:00,171.0,22.0,10.0,0.0017,0.002
2020-08-28 00:00:00+00:00,167.0,70.0,1.0,0.0008,0.0024
2020-08-29 00:00:00+00:00,150.0,50.0,16.0,0.0027,0.0021
2020-08-30 00:00:00+00:00,155.0,11.0,34.0,0.0169,0.0012
2020-08-31 00:00:00+00:00,156.0,49.0,0.0,0.0,0.0024
2020-09-01 00:00:00+00:00,148.0,14.0,0.0,0.0,0.0017
2020-09-02 00:00:00+00:00,156.0,61.0,0.0,0.0,0.0022
2020-09-03 00:00:00+00:00,179.0,11.0,36.0,0.0028,0.0014
2020-09-04 00:00:00+00:00,171.0,54.0,10.0,0.0006,0.0024
2020-09-05 00:00:00+00:00,153.0,91.0,3.0,0.0004,0.0026
2020-09-06 00:00:00+00:00,146.0,96.0,0.0,0.0,0.0026
2020-09-07 00:00:00+00:00,162.0,90.0,0.0,0.0,0.0026
2020-09-08 00:00:00+00:00,176.0,3.0,16.0,0.0008,0.0007
2020-09-09 00:00:00+00:00,180.0,30.0,6.0,0.001,0.0017
2020-09-10 00:00:00+00:00,149.0,101.0,0.0,0.0,0.0024
2020-09-11 00:00:00+00:00,153.0,101.0,0.0,0.0,0.0025
2020-09-12 00:00:00+00:00,158.0,65.0,0.0,0.0,0.0021
2020-09-13 00:00:00+00:00,170.0,100.0,0.0,0.0,0.0027
2020-09-14 00:00:00+00:00,210.0,117.0,0.0,0.0,0.0029
2020-09-15 00:00:00+00:00,228.0,112.0,0.0,0.0,0.0029
2020-09-16 00:00:00+00:00,188.0,83.0,0.0,0.0,0.0024
2020-09-17 00:00:00+00:00,159.0,112.0,0.0,0.0,0.0026
2020-09-18 00:00:00+00:00,165.0,110.0,0.0,0.0,0.0026
2020-09-19 00:00:00+00:00,182.0,115.0,0.0,0.0,0.0027
2020-09-20 00:00:00+00:00,172.0,112.0,0.0,0.0,0.0028
2020-09-21 00:00:00+00:00,157.0,112.0,0.0,0.0,0.0026
2020-09-22 00:00:00+00:00,157.0,99.0,0.0,0.0,0.0025
2020-09-23 00:00:00+00:00,167.0,20.0,61.0,0.0151,0.0012
2020-09-24 00:00:00+00:00,136.0,57.0,16.0,0.0013,0.0016
2020-09-25 00:00:00+00:00,111.0,38.0,113.0,0.0249,0.0011
2020-09-26 00:00:00+00:00,127.0,36.0,154.0,0.077,0.0009
2020-09-27 00:00:00+00:00,150.0,24.0,73.0,0.0056,0.0013
2020-09-28 00:00:00+00:00,150.0,0.0,176.0,0.0125,0.0002
2020-09-29 00:00:00+00:00,147.0,41.0,10.0,0.0028,0.0015
2020-09-30 00:00:00+00:00,159.0,11.0,22.0,0.0018,0.0009
2020-10-01 00:00:00+00:00,135.0,10.0,104.0,0.012,0.0005
2020-10-02 00:00:00+00:00,129.0,5.0,27.0,0.0009,0.0007
2020-10-03 00:00:00+00:00,127.0,3.0,70.0,0.0039,0.0005
2020-10-04 00:00:00+00:00,120.0,37.0,39.0,0.0054,0.0013
2020-10-05 00:00:00+00:00,128.0,26.0,72.0,0.0068,0.001
2020-10-06 00:00:00+00:00,134.0,52.0,52.0,0.0131,0.0013
2020-10-07 00:00:00+00:00,127.0,32.0,9.0,0.0013,0.0011
2020-10-08 00:00:00+00:00,139.0,4.0,77.0,0.0096,0.0004
2020-10-09 00:00:00+00:00,120.0,42.0,25.0,0.0054,0.0012
2020-10-10 00:00:00+00:00,98.0,46.0,29.0,0.0041,0.0011
2020-10-11 00:00:00+00:00,105.0,67.0,42.0,0.009,0.0013
2020-10-12 00:00:00+00:00,112.0,53.0,11.0,0.001,0.0013
2020-10-13 00:00:00+00:00,104.0,7.0,28.0,0.0008,0.0006
2020-10-14 00:00:00+00:00,99.0,9.0,0.0,0.0,0.0008
